4,2,What is Florida's Capital, Tallahassee, Miami, Jacksonville, Tampa
4,1,What is Indiana's Capital, Indianapolis, Gary, Brownsburg, Bloomington
6,2,Who wrote the Star Spangled Banner, Francis Scott Key, Jimi Hendrix, Whitney Houston, Louis Armstrong
6,3,Who broke the Liberty Bell, A Bell Ringer, Jesse James, JFK, Marquis de La Fayette
6,1,Who made the first American flag, Betsy Ross, George Wahington, John Adams, Alexander Hamilton
6,1,What is America's national bird, Bald Eagle, Woodpecker, Robin, Vulture
6,3,Who is the model for Uncle Sam, Samuel Wilson, Abe Lincoln, George Washington, Sam Adams
6,2,What nation was resposible for the crreation of the Statue of Liberty, France, USA, South America, Japan
9,1,Which US landmark completes the phrase: "Remeber ___ ____", The Alamo, Lincoln Memorial, Mount Rushmore, Crazy Horse Memorial
9,1,What prison was home to Al Capone, Alcatraz, Rikers Island, Sing Sing, ADX Florence Facility
9,3,This fort was where the first shots in the Civil War were fired, Fort Sumter, Fort Adams, Fort Baker, Fort Bowie
9,3,What monument depicts a famous Civil Rights leader, Martin Luther King Jr. Memorial, Lincoln Monument, Rosa Parks Memorial, Wahington Monument
9,2,Where does the President live, The White House, Their House, Virginia, Delaware
9,2,Who was in charge of building Mount Rushmore, Gutzon Borglum, Harold Spitznagel, Lincoln Borglum, John Hasecoster
11,3,In which state is the Rock and Roll Hall of Fame located, Ohio, Tennessee, Florida, New Hampshire
11,1,Which Rock and Roll artist is associated with Graceland, Elvis Presley, Micheal Jackson, Eddie Van Halen, James Hetfield
11,1,Which Pop artist is known as the "King of Pop", Micheal Jackson, Bruno Mars, Justin Timberlake, Elton John
11,3,This famous country artist wrote the song "The Angry American", Toby Kieth, Garth Brooks, Reba McEntire, Blake Shelton
11,2,This heavy metalist bit a live bat on stage thinking it was a prop, Ozzy Osborne, Alice Cooper, Freddie Mercury, John Arch
11,2,Which Punk rock band released American Idiot, Green Day, The Offspring, Nirvana, Sum 41
13,1,This famous show host had a iconic mustache for thirty years before shaving it off, Alex Trebek, Bob Parker, Pat Sajack, Drew Carey
13,3,Alex Trebek was a producer on how many different shows, 4, 23, 7, 1
13,2,Trebek was a one off host on this show before being hired by Jeopardy, Wheel of Fortune, Who Wants to Be A Millionare, Match Game,Family Fued
13,1,Alex currently holds the Guinness World Record for, The most game show episodes hosted by the same presenter, The worlds best mustache, The world's favorite TV host, World's most educated man
13,2,The TV host announced he had stage 4 ____ on all forms of social media on March 6 2019, Pancreatic cancer, Throat cancer, Pnemonia, Thyroid cancer
13,3,Alex's mom had him when she was, 19, 23, 47, 33
